531,Full Transformer,LSTM,Transformer Encoder,Full Transformer
204,0.45653224,0.665066123,0.627693176,38.4180791
205,0.458099186,0.666215777,0.629148245,38.60640301
206,0.460167587,0.666433424,0.629921913,38.79472693
207,0.462960124,0.667789161,0.629926443,38.98305085
208,0.463039339,0.668481261,0.630837321,39.17137476
209,0.463601291,0.668926775,0.631087363,39.35969868
210,0.463934183,0.671558529,0.631267726,39.5480226
211,0.466124535,0.672172785,0.631317049,39.73634652
212,0.466587007,0.673054248,0.632751852,39.92467043
213,0.466713607,0.673675209,0.632878274,40.11299435
214,0.469627678,0.673787922,0.632886231,40.30131827
215,0.471554458,0.676661462,0.633746207,40.48964218
216,0.473547578,0.676682293,0.633941621,40.6779661
217,0.474003792,0.67732662,0.634686619,40.86629002
218,0.477528274,0.677836418,0.6351327,41.05461394
219,0.478750288,0.67848441,0.636038214,41.24293785
220,0.479895711,0.678752869,0.636480778,41.43126177
221,0.480890214,0.679210156,0.636964589,41.61958569
222,0.481784284,0.679740787,0.637053221,41.8079096
223,0.488346577,0.680083692,0.637322664,41.99623352
224,0.489293575,0.680200309,0.637679666,42.18455744
225,0.489784598,0.680378348,0.637687713,42.37288136
226,0.490719914,0.681258947,0.638025671,42.56120527
227,0.491023242,0.681873232,0.638060421,42.74952919
228,0.493117034,0.683858693,0.638604999,42.93785311
229,0.493853629,0.684093833,0.638748646,43.12617702
230,0.500564873,0.68422696,0.638772309,43.31450094
231,0.500779063,0.684728473,0.63939929,43.50282486
232,0.50098148,0.685192585,0.639510572,43.69114878
233,0.503674805,0.686291903,0.639986426,43.87947269
234,0.503887594,0.686428338,0.640630454,44.06779661
235,0.504494846,0.68660453,0.640781134,44.25612053
236,0.50769344,0.686730623,0.641029,44.44444444
237,0.511325985,0.687160492,0.641306579,44.63276836
238,0.512195855,0.687333971,0.64226526,44.82109228
239,0.512304068,0.687573582,0.642340213,45.0094162
240,0.51372233,0.688777149,0.642865568,45.19774011
241,0.51410678,0.688959032,0.64302808,45.38606403
242,0.517496258,0.689729005,0.643481493,45.57438795
243,0.518131107,0.689988494,0.643514335,45.76271186
244,0.518571317,0.690181851,0.643788338,45.95103578
245,0.519562632,0.6901941,0.643865138,46.1393597
246,0.520339608,0.690797657,0.643974245,46.32768362
247,0.52152285,0.691800743,0.647481322,46.51600753
248,0.521534115,0.692545831,0.648067355,46.70433145
249,0.522761941,0.692747116,0.648157388,46.89265537
250,0.52391091,0.692845404,0.64835605,47.08097928
251,0.525248766,0.693257481,0.648535699,47.2693032
252,0.526278764,0.693388939,0.649824262,47.45762712
253,0.527570009,0.693476051,0.650108814,47.64595104
254,0.530431449,0.693753004,0.650197148,47.83427495
255,0.530569345,0.693992525,0.650365293,48.02259887
256,0.530800372,0.694181442,0.651092678,48.21092279
257,0.531028986,0.694450945,0.652444005,48.3992467
258,0.531474888,0.69548884,0.652715534,48.58757062
259,0.532320857,0.695526093,0.653212845,48.77589454
260,0.532691568,0.695802331,0.653730899,48.96421846
261,0.533766121,0.696700126,0.654969752,49.15254237
262,0.534583867,0.697534829,0.655701935,49.34086629
263,0.53501147,0.698542625,0.656154752,49.52919021
264,0.537012249,0.6987876,0.656161577,49.71751412
265,0.537174493,0.699123979,0.656742692,49.90583804
266,0.53880924,0.69959414,0.656809479,50.09416196
267,0.538919926,0.70085296,0.657394469,50.28248588
268,0.539722085,0.703179836,0.657639354,50.47080979
269,0.539862305,0.703311384,0.657728016,50.65913371
270,0.540053785,0.703923613,0.658749521,50.84745763
271,0.541024268,0.704142869,0.658979774,51.03578154
272,0.541151464,0.70418787,0.65931654,51.22410546
273,0.543338686,0.705099225,0.659805477,51.41242938
274,0.543519795,0.705330789,0.659934849,51.6007533
275,0.544799119,0.705667049,0.660691679,51.78907721
276,0.547967732,0.706308246,0.661905855,51.97740113
277,0.548924237,0.707290441,0.662035853,52.16572505
278,0.550020069,0.707671523,0.662349999,52.35404896
279,0.551200658,0.707763374,0.662903637,52.54237288
280,0.552905321,0.709261239,0.664389133,52.7306968
281,0.55355382,0.709650308,0.664635658,52.91902072
282,0.554963022,0.709899276,0.664785057,53.10734463
283,0.557405859,0.710128188,0.665273398,53.29566855
284,0.55860886,0.711081237,0.665332049,53.48399247
285,0.560709089,0.712228596,0.665654987,53.67231638
286,0.560846835,0.713258147,0.667156637,53.8606403
287,0.562526882,0.713751316,0.667263478,54.04896422
288,0.563072443,0.714685559,0.668204546,54.23728814
289,0.564451307,0.715842664,0.669935614,54.42561205
290,0.566204011,0.715850025,0.670621425,54.61393597
291,0.567778617,0.716672748,0.671184659,54.80225989
292,0.567991018,0.716784477,0.671267837,54.9905838
293,0.569156855,0.716834903,0.672283053,55.17890772
294,0.57297191,0.717036068,0.672446012,55.36723164
295,0.574771523,0.717250407,0.672777772,55.55555556
296,0.577744573,0.717261642,0.673366457,55.74387947
297,0.579743534,0.717288733,0.67647776,55.93220339
298,0.579920232,0.717932492,0.679091692,56.12052731
299,0.580073714,0.718012184,0.679977298,56.30885122
300,0.580086112,0.718078196,0.680105031,56.49717514
301,0.582024753,0.71825099,0.680264711,56.68549906
302,0.583885431,0.718529642,0.680302233,56.87382298
303,0.584489644,0.720525265,0.680389941,57.06214689
304,0.584902853,0.721491694,0.682334274,57.25047081
305,0.58537215,0.721752942,0.682359159,57.43879473
306,0.587399662,0.722452581,0.684315413,57.62711864
307,0.58764261,0.72251302,0.684685796,57.81544256
308,0.588588327,0.723643601,0.685392827,58.00376648
309,0.589336157,0.724020392,0.685420901,58.1920904
310,0.590343118,0.72474429,0.686622024,58.38041431
311,0.591996342,0.726613402,0.686992824,58.56873823
312,0.596030325,0.72715345,0.687490582,58.75706215
313,0.597431719,0.727188975,0.687693864,58.94538606
314,0.597887605,0.72740978,0.688118696,59.13370998
315,0.601597518,0.727433145,0.688447684,59.3220339
316,0.601911366,0.727932394,0.689138561,59.51035782
317,0.602504611,0.727942109,0.689654559,59.69868173
318,0.606874853,0.728035361,0.69012028,59.88700565
319,0.606933415,0.729072541,0.690850616,60.07532957
320,0.607165635,0.729323804,0.691259921,60.26365348
321,0.607715905,0.731916398,0.691331923,60.4519774
322,0.610289335,0.732659101,0.691553265,60.64030132
323,0.610488534,0.732730567,0.692004293,60.82862524
324,0.611911088,0.732843012,0.692220986,61.01694915
325,0.612110704,0.732853115,0.69342193,61.20527307
326,0.612238079,0.732949108,0.693769991,61.39359699
327,0.612733871,0.734257638,0.694400758,61.5819209
328,0.613666594,0.736182004,0.695395201,61.77024482
329,0.619886458,0.736360401,0.695429683,61.95856874
330,0.620426387,0.736418128,0.697088659,62.14689266
331,0.621055961,0.73696515,0.697113663,62.33521657
332,0.62156871,0.738006353,0.701803923,62.52354049
333,0.622380733,0.738025606,0.702364236,62.71186441
334,0.622596741,0.73850435,0.702730685,62.90018832
335,0.626078457,0.739460796,0.70348835,63.08851224
336,0.628211677,0.740006506,0.703539342,63.27683616
337,0.631540805,0.740118682,0.703583419,63.46516008
338,0.631992549,0.740288287,0.704352289,63.65348399
339,0.632147133,0.741059303,0.704856724,63.84180791
340,0.632518202,0.743640244,0.705365807,64.03013183
341,0.633405566,0.743804932,0.705604821,64.21845574
342,0.634703338,0.744609535,0.705765873,64.40677966
343,0.635454983,0.745296359,0.7058312,64.59510358
344,0.635988265,0.746317208,0.706969827,64.7834275
345,0.636289567,0.746619821,0.706988096,64.97175141
346,0.641707301,0.746794313,0.707480401,65.16007533
347,0.642910004,0.747396559,0.707614332,65.34839925
348,0.643492579,0.747410238,0.708063424,65.53672316
349,0.644012809,0.747558296,0.708861113,65.72504708
350,0.644849122,0.747813344,0.709032983,65.913371
351,0.645703197,0.747877091,0.709168762,66.10169492
352,0.646030694,0.747977465,0.709512919,66.29001883
353,0.646398306,0.748761684,0.709622383,66.47834275
