531,Masked Transformer,Masked Transformer,No Mask Transformer,Transformer Encoder,LSTM
435,0.819058418,81.92090395,0.795262173,0.799228549,0.796023965
436,0.825032219,82.10922787,0.797212228,0.800146863,0.797095165
437,0.82706663,82.29755179,0.797596306,0.800250098,0.798359722
438,0.82871373,82.48587571,0.798438966,0.800908476,0.799184993
439,0.832695782,82.67419962,0.799230888,0.801423535,0.7993339
440,0.835468993,82.86252354,0.799562097,0.801494107,0.800281465
441,0.83591412,83.05084746,0.800281391,0.801712215,0.800497934
442,0.83779633,83.23917137,0.806459233,0.802381694,0.800571591
443,0.840332136,83.42749529,0.80665952,0.80297552,0.802491933
444,0.843489498,83.61581921,0.813591689,0.803323865,0.80308634
445,0.844625697,83.80414313,0.818541825,0.803503811,0.803323761
446,0.844744846,83.99246704,0.824546352,0.803554401,0.804134518
447,0.850316912,84.18079096,0.828041211,0.803913206,0.804232463
448,0.850377604,84.36911488,0.831185654,0.804403678,0.805199385
449,0.851162776,84.55743879,0.83398965,0.805076852,0.805523887
450,0.853392348,84.74576271,0.835155055,0.805106446,0.805889338
451,0.85482724,84.93408663,0.835560903,0.807876274,0.805935428
452,0.862095669,85.12241055,0.839577883,0.808805645,0.806062609
453,0.866337597,85.31073446,0.839845553,0.809579954,0.806143463
454,0.875267863,85.49905838,0.843096405,0.810026556,0.806534246
455,0.880525827,85.6873823,0.843475625,0.810045511,0.807807177
456,0.900010087,85.87570621,0.852290437,0.810198352,0.807820454
457,0.904776275,86.06403013,0.855323657,0.812246084,0.808832154
458,0.906520076,86.25235405,0.855705991,0.812493443,0.80932194
459,0.908278555,86.44067797,0.858126774,0.813868478,0.80946207
460,0.908301964,86.62900188,0.859075353,0.815184698,0.811075419
461,0.909624025,86.8173258,0.871196568,0.815797463,0.812407032
462,0.911096156,87.00564972,0.874752045,0.815871492,0.813669458
463,0.912292697,87.19397363,0.884122938,0.817698732,0.815461889
464,0.913287662,87.38229755,0.884866744,0.818127543,0.815980837
465,0.915459804,87.57062147,0.888582408,0.818218902,0.81634675
466,0.916328222,87.75894539,0.889052428,0.818953484,0.816434115
467,0.923547193,87.9472693,0.890912041,0.81981343,0.816568941
468,0.925627947,88.13559322,0.894180425,0.819951892,0.817667395
469,0.927393578,88.32391714,0.902934872,0.820473582,0.817903504
470,0.92750217,88.51224105,0.903803043,0.820977226,0.818333194
471,0.928725779,88.70056497,0.905100606,0.821293429,0.81841737
472,0.928759225,88.88888889,0.908607155,0.822083935,0.818796441
473,0.931199044,89.07721281,0.913655117,0.823199481,0.819081232
474,0.932664938,89.26553672,0.914007448,0.823873937,0.819335908
475,0.932752624,89.45386064,0.914660223,0.823948383,0.819613591
476,0.934951983,89.64218456,0.919439532,0.825607195,0.822294161
477,0.934995346,89.83050847,0.920326762,0.82651341,0.822347924
478,0.936878189,90.01883239,0.922273278,0.827015623,0.822416887
479,0.937949464,90.20715631,0.922470406,0.827029854,0.822683662
480,0.940205026,90.39548023,0.924886629,0.828222424,0.822964489
481,0.941775523,90.58380414,0.927904889,0.829437211,0.823028758
482,0.947024535,90.77212806,0.937471218,0.83036682,0.82303986
483,0.949453987,90.96045198,0.938187037,0.830462515,0.825495839
484,0.953896593,91.14877589,0.939704016,0.830854282,0.825557247
485,0.954154063,91.33709981,0.939872939,0.83111313,0.82602863
486,0.95449705,91.52542373,0.941229485,0.831315413,0.828613147
487,0.955058467,91.71374765,0.947054014,0.831510231,0.829216793
488,0.960414372,91.90207156,0.947402149,0.83419317,0.829796314
489,0.962015238,92.09039548,0.947989598,0.834815636,0.830132142
490,0.962086186,92.2787194,0.948506318,0.835577905,0.830756277
491,0.963685181,92.46704331,0.949153271,0.836088762,0.831535235
492,0.964511391,92.65536723,0.949172392,0.836317807,0.831694871
493,0.965369362,92.84369115,0.949372955,0.836446881,0.831959501
494,0.966218453,93.03201507,0.950864129,0.8365518,0.833950654
495,0.969048753,93.22033898,0.952014271,0.837938413,0.835007787
496,0.970053973,93.4086629,0.954139628,0.840121374,0.835756108
497,0.970326358,93.59698682,0.954244692,0.841904551,0.836570755
498,0.970656348,93.78531073,0.954645354,0.84195058,0.837715492
499,0.970765572,93.97363465,0.954732496,0.842378736,0.838000834
500,0.972966731,94.16195857,0.955049261,0.843347579,0.838740468
501,0.973063773,94.35028249,0.956158023,0.847049102,0.838966653
502,0.973380808,94.5386064,0.95630056,0.849465281,0.844839856
503,0.973901276,94.72693032,0.959215101,0.850783497,0.845029518
504,0.974442447,94.91525424,0.963554937,0.850984409,0.845875844
505,0.974740267,95.10357815,0.963797171,0.851459697,0.846154392
506,0.974805295,95.29190207,0.964400109,0.853106126,0.846280783
507,0.97526432,95.48022599,0.965178434,0.853433162,0.846775711
508,0.978007026,95.66854991,0.965491779,0.854147226,0.847262233
509,0.978213597,95.85687382,0.966602158,0.854891971,0.848691151
510,0.978847038,96.04519774,0.967578053,0.855370179,0.849083513
511,0.979391677,96.23352166,0.968526881,0.855454132,0.849677145
512,0.980978929,96.42184557,0.969415439,0.855776906,0.851012543
513,0.981046919,96.61016949,0.970028851,0.855965033,0.852341563
514,0.981152333,96.79849341,0.970063053,0.856039107,0.852391049
515,0.98193302,96.98681733,0.970289761,0.856928498,0.853231177
516,0.981996609,97.17514124,0.972456265,0.859174222,0.855794042
517,0.982570859,97.36346516,0.973918637,0.859179944,0.863657922
518,0.983002407,97.55178908,0.975418562,0.859288394,0.864078745
519,0.983618492,97.74011299,0.976164458,0.861122444,0.864795148
520,0.984537324,97.92843691,0.977810074,0.862272844,0.865418851
521,0.984607052,98.11676083,0.978482708,0.862481877,0.867340267
522,0.984630601,98.30508475,0.978637703,0.862846419,0.868964553
523,0.985842559,98.49340866,0.978993645,0.863827169,0.869964227
524,0.986314675,98.68173258,0.981250916,0.871427029,0.870161772
525,0.987499763,98.8700565,0.982002098,0.872036025,0.876545146
526,0.98752404,99.05838041,0.982256994,0.87778993,0.87698324
527,0.987804747,99.24670433,0.98234863,0.878858872,0.877409317
528,0.988011401,99.43502825,0.985332842,0.886361681,0.886714287
529,0.988744578,99.62335217,0.986362149,0.897906452,0.894335531
530,0.98964822,99.81167608,0.986568357,0.909780845,0.894388989
531,0.989844671,100,0.988533927,0.913584217,0.907791816
