531,,100seq-100,LSTM,Transformer Encoder,Full Transformer
517,,0.982929882,0.863657922,0.859179944,97.36346516
518,,0.982991073,0.864078745,0.859288394,97.55178908
519,,0.983351901,0.864795148,0.861122444,97.74011299
520,,0.984004119,0.865418851,0.862272844,97.92843691
521,,0.984120684,0.867340267,0.862481877,98.11676083
522,,0.98421371,0.868964553,0.862846419,98.30508475
523,,0.98504521,0.869964227,0.863827169,98.49340866
524,,0.987587548,0.870161772,0.871427029,98.68173258
525,,0.988280965,0.876545146,0.872036025,98.8700565
526,,0.988425579,0.87698324,0.87778993,99.05838041
527,,0.988896904,0.877409317,0.878858872,99.24670433
528,,0.989205362,0.886714287,0.886361681,99.43502825
529,,0.990572565,0.894335531,0.897906452,99.62335217
530,,0.991456143,0.894388989,0.909780845,99.81167608
531,,0.991466586,0.907791816,0.913584217,100
